metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,p_value,cohen_d
dns_overall,2,94,0.2755521702211433,0.388521226133394,0.2224735580762775,0.3316636495701737,0.31895455486298363,0.45995799168297274,-0.16361452553953923,-0.26585435343093605,0.3566912781848816,0.4604765071409729,0.007301981001894334,0.28292937507971655
dns_overall,4,89,0.22957460065443888,0.23278315104661837,0.18976237259339482,0.2736640968763719,0.19582300608558692,0.2705586730286069,-0.03790937053205835,-0.07243932102616633,0.3106815848364417,0.2911055978886456,0.18833470478283346,0.14053533666216023
dns_overall,6,74,0.2600873933765844,0.1970220603860722,0.20663879590960324,0.3158907666233863,0.15596626679206319,0.23798481901962598,-0.023932986269263695,-0.015123914696309753,0.3557628504243501,0.26774834414975374,0.7548441341059159,-0.036436062040825334
dns_overall,8,49,0.23279811680716248,0.1894951101116408,0.17550983286236713,0.30204268567534415,0.14108798393142344,0.23642946078082105,-0.036720662656402024,-0.04589022003047077,0.3235258983552954,0.25243238052796085,0.7983849882916938,0.036694230122573945
dns_p808,2,94,0.29700281878144347,0.29521402396534807,0.24784003203354513,0.34789429117011,0.24596924685615962,0.34997532387875,-0.10611481811412947,-0.18642741733561788,0.36721518975466416,0.3439258568306327,0.0002716936325650398,0.39042856967409617
dns_p808,4,89,0.2075903955755408,0.18162133756524565,0.1692139726141062,0.2483876383598839,0.14821977449743157,0.22117464865129738,0.046128223650367464,0.03866981795686097,0.27573754392216104,0.2476681228071894,0.6929148220256136,0.04199736341736703
dns_p808,6,74,0.20559791200494543,0.182144299626648,0.16914680490166528,0.24719888420692018,0.14488352757591408,0.21971988783853913,0.09002250376035437,0.10369012374048778,0.2616683446283472,0.22560879803224448,0.4809569505561233,-0.08234906231931995
dns_p808,8,49,0.20479108056966586,0.17187096689404174,0.16264360608399742,0.25304803770249523,0.12817630168282884,0.22767292447617163,0.0403078943381063,0.08696889826512982,0.26747094532816285,0.22786341670352986,0.06979095420947433,-0.2649535496420831
utmos,2,94,0.3152144973292102,0.3711884291209921,0.24703469930650693,0.3863476114952543,0.2927436753979511,0.4550491435518075,-0.18158448553794296,-0.2778852352405994,0.44370288744223124,0.4630966270579815,0.01147642089135089,0.2660056373601567
utmos,4,89,0.17527442956722775,0.19438106542696323,0.13282715071558024,0.223009837852193,0.14994417721056216,0.24269683862848931,-0.06239178247827468,-0.10317606065501463,0.27528749391410584,0.275460144405699,0.1327220836550566,0.16085585557383053
utmos,6,74,0.18431097177836525,0.18543199193499613,0.1391946863930142,0.23224775466845962,0.1435818403491033,0.2286787714238638,-0.09296777449458475,-0.11273597694046253,0.2670958259600811,0.24970255854198695,0.4978732164872437,0.0791928845386558
utmos,8,49,0.17699360164518513,0.16620525640792966,0.12161125774125009,0.2337186341419658,0.11553260240410405,0.21924639296730988,-0.080193676085621,-0.1294026718541408,0.2546078629785403,0.21526969974031987,0.15240427875598145,0.20774008296846225
utmosv2,2,94,0.38684000340137964,0.5151919123612642,0.3323948431242677,0.447117946679741,0.44309097420173066,0.5904791102653423,-0.2726394913527208,-0.4601467031943821,0.40154868520262077,0.4316194610900949,1.7747213391294518e-07,0.582308294379304
utmosv2,4,89,0.2921649765427171,0.4066320871700045,0.24677449935559279,0.3434727052859647,0.3510412379402953,0.4658376967424837,-0.09446135100773537,-0.29979732455579416,0.366844463825005,0.39378077617487955,2.9614336941032562e-08,0.6449770737452838
utmosv2,6,74,0.3031589708925523,0.31980601472548204,0.25213955489448925,0.35967214734115915,0.2706437818674172,0.37667256904543767,-0.040673640487792484,-0.16662033815978078,0.3820867604515386,0.36188207439638354,0.00012625621221262244,0.47080006854780393
